Station1-BinMagazine								Station2-BinMagazine								Station3-BinMagazine								
ComponentType1		ComponentType2		ComponentType11		ComponentType12		ComponentType3		ComponentType4		ComponentType11		ComponentType13		ComponentType5		ComponentType6		ComponentType12		ComponentType14		
Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	
0	6																						
		0	3																				
				0	4																		
						0	3																
								0	2														
										0	19												
												0	4										
														0	55								
																0	14						
																		0	11				
																				0	10		
																						0	13
												345.233365878589	0.75										
														345.233365878589	4								
														345.233365878589	3								
														345.233365878589	2								
														345.233365878589	1								
														345.233365878589	0								
				345.233365878589	1.25																		
						345.233365878589	0.6																
												346.233365878589	0.5										
														346.233365878589	4								
														346.233365878589	3								
														346.233365878589	2								
														346.233365878589	1								
														346.233365878589	0								
																				346.812513780082	3		
																				346.812513780082	2.4		
				355.517944082555	1																		
						355.517944082555	1.4																
																				366.233365878589	4		
																				366.233365878589	3.5		
												366.322716992145	0.25										
														366.322716992145	4								
														366.322716992145	3								
														366.322716992145	2								
														366.322716992145	1								
														366.322716992145	0								
				366.322716992145	0.75																		
						366.322716992145	1.2																
																				367.233365878589	3		
																				367.233365878589	2.6		
												367.322716992145	0										
														367.322716992145	4								
														367.322716992145	3								
														367.322716992145	2								
														367.322716992145	1								
														367.322716992145	0								
				376.375112594576	1.5																		
						376.375112594576	1																
																				387.322716992145	3		
																				387.322716992145	2.7		
																				396.233365878589	3		
																				396.233365878589	2.8		
												396.322716992145	0.75										
														396.322716992145	9								
														396.322716992145	8								
														396.322716992145	7								
														396.322716992145	6								
														396.322716992145	5								
				396.322716992145	1.25																		
						396.322716992145	0.8																
												397.322716992145	0.5										
														397.322716992145	4								
														397.322716992145	3								
														397.322716992145	2								
														397.322716992145	1								
														397.322716992145	0								
				405.95860555195	1																		
						405.95860555195	0.6																
												416.322716992145	0.25										
														416.322716992145	4								
														416.322716992145	3								
														416.322716992145	2								
														416.322716992145	1								
														416.322716992145	0								
				416.322716992145	0.75																		
						416.322716992145	0.4																
																				417.322716992145	2		
																				417.322716992145	1.9		
																				418.322716992145	1		
																				437.322716992145	2.1		
												442.269975862502	0										
														442.269975862502	4								
														442.269975862502	3								
														442.269975862502	2								
														442.269975862502	1								
														442.269975862502	0								
				442.269975862502	0.5																		
						442.269975862502	1.2																
																				463.269975862502	3		
																				463.269975862502	2.2		
												464.336047832365	0.75										
														464.336047832365	4								
														464.336047832365	3								
														464.336047832365	2								
														464.336047832365	1								
														464.336047832365	0								
				464.336047832365	1.25																		
						464.336047832365	1																
												465.812513780082	0.5										
														465.812513780082	4								
														465.812513780082	3								
														465.812513780082	2								
														465.812513780082	1								
														465.812513780082	0								
				474.588029829392	1																		
						474.588029829392	0.8																
												485.233365878589	0.25										
														485.233365878589	4								
														485.233365878589	3								
														485.233365878589	2								
														485.233365878589	1								
														485.233365878589	0								
																				485.336047832365	4		
																				485.336047832365	3.3		
				485.342061769019	0.75																		
						485.342061769019	0.6																
												486.342061769019	0										
														486.342061769019	4								
														486.342061769019	3								
														486.342061769019	2								
														486.342061769019	1								
														486.342061769019	0								
																				486.812513780082	3		
																				486.812513780082	2.4		
				494.438632374451	0.5																		
						494.438632374451	0.4																
																				506.233365878589	4		
																				506.233365878589	3.5		
																				515.336047832365	3		
																				515.336047832365	2.6		
												516.322716992145	0.75										
														516.322716992145	9								
														516.322716992145	8								
														516.322716992145	7								
														516.322716992145	6								
														516.322716992145	5								
				516.322716992145	1.25																		
						516.322716992145	1.2																
												517.322716992145	0.5										
														517.322716992145	4								
														517.322716992145	3								
														517.322716992145	2								
														517.322716992145	1								
														517.322716992145	0								
				525.571545826942	1																		
						525.571545826942	1																
												536.322716992145	0.25										
														536.322716992145	4								
														536.322716992145	3								
														536.322716992145	2								
														536.322716992145	1								
														536.322716992145	0								
				536.322716992145	0.75																		
						536.322716992145	0.8																
																				537.322716992145	4		
																				537.322716992145	3.7		
												537.322716992145	0										
														537.322716992145	4								
														537.322716992145	3								
														537.322716992145	2								
														537.322716992145	1								
														537.322716992145	0								
																				538.322716992145	3		
																				538.322716992145	2.8		
				545.509793672254	0.5																		
						545.509793672254	0.6																
																				557.322716992145	2		
																				557.322716992145	1.9		
												566.322716992145	0.75										
														566.322716992145	4								
														566.322716992145	3								
														566.322716992145	2								
														566.322716992145	1								
														566.322716992145	0								
				566.322716992145	1.25																		
						566.322716992145	0.4																
																				567.322716992145	2		
												582.269975862502	0.5										
														582.269975862502	4								
														582.269975862502	3								
														582.269975862502	2								
														582.269975862502	1								
														582.269975862502	0								
				582.269975862502	1																		
						582.269975862502	1.2																
																				587.322716992145	3.1		
																				603.269975862502	3		
																				603.269975862502	2.2		
												604.336047832365	0.25										
														604.336047832365	4								
														604.336047832365	3								
														604.336047832365	2								
														604.336047832365	1								
														604.336047832365	0								
				604.336047832365	0.75																		
						604.336047832365	1																
												605.812513780082	0										
														605.812513780082	4								
														605.812513780082	3								
														605.812513780082	2								
														605.812513780082	1								
														605.812513780082	0								
				613.919212428666	0.5																		
						613.919212428666	0.8																
																				625.336047832365	4		
																				625.336047832365	3.3		
																				626.812513780082	3		
																				626.812513780082	2.4		
												635.233365878589	0.75										
														635.233365878589	9								
														635.233365878589	8								
														635.233365878589	7								
														635.233365878589	6								
														635.233365878589	5								
				635.233365878589	1.25																		
						635.233365878589	0.6																
												636.233365878589	0.5										
														636.233365878589	4								
														636.233365878589	3								
														636.233365878589	2								
														636.233365878589	1								
														636.233365878589	0								
				645.548783115611	1																		
						645.548783115611	1.4																
